Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Євтушок,Сніжана,Альбертівна,Жіноча,1954-11-20,Круп'є,хутір Глиняни,"проспект Полуничний, буд. 9 кв. 673, Кобеляки, 95964",061 306 00 96,starasenko@example.org
Лаба,Трохим,Ігнатович,Чоловіча,1974-12-13,Астрофізик,місто Київ,"парк Шкодова гора, буд. 655 кв. 2, Борислав, 05655",033 352 56 33,martyn27@example.net
Стельмах,Симон,Хомович,Чоловіча,1993-01-04,Астронавт,селище Глобине,"набережна Болградська, буд. 640, Новоукраїнка, 71489",+380 (66) 411-95-14,raverchenko@example.com
Гайденко,Пилип,Васильович,Чоловіча,1961-10-05,Професор,хутір Хрестівка,"узвіз Лазурний 4-й, буд. 6 кв. 68, Привілля, 40137",+380 (07) 113-06-50,aleksiukedyta@example.net
Данильчук,Станіслав,Трохимович,Чоловіча,1994-06-28,Інженер,селище Тетіїв,"площа Клинова, буд. 7 кв. 433, Гребінка, 20946",+380 58 391-74-04,kchernenko@example.org
Петренко,Андрій,Данилович,Чоловіча,1983-03-16,Електротехнік,село Волочиськ,"провулок Князівський, буд. 34, Марганець , 56008",057 650-51-75,leonidvernydub@example.net
Устенко,Валентина,Панасівна,Жіноча,1947-01-28,Епідеміолог,хутір Старобільськ,"парк Матроська Слобідка, буд. 4 кв. 985, Світловодськ, 13730",+380 (04) 001-70-49,lukianchekaliuk@example.net
Короленко,Богданна,Захарівна,Жіноча,2007-07-18,Слідчий,місто Дружківка,"площа Суднобудівна, буд. 2 кв. 15, Полтава, 52237",597-42-61,onishchukiarema@example.net
Андрейко,Богданна,Болеславівна,Жіноча,2006-08-31,Редактор,село Красноград,"провулок Виноградна 3-тя, буд. 9 кв. 918, Кролевець, 22212",+380 07 366 09 47,siurchenko@example.org
Безбородько,Лілія,Симонівна,Жіноча,1958-10-18,Графік,хутір Устилуг,"шосе Хімічний 1-й, буд. 822 кв. 34, Соснівка , 96230",251 43 52,bevzenkoillia@example.com
Приходько,Ліза,Прохорівна,Жіноча,1975-12-17,Електромонтажник,місто Корець,"вулиця Студентський, буд. 1, Хрестівка, 60265",083 042 14 44,fshvaika@example.com
Козак,Алевтин,Богодарович,Чоловіча,1954-12-06,Історик,хутір Городок,"сквер Басейний 1-й, буд. 74 кв. 556, Гайсин, 93327",+380 (89) 462-36-42,hprotsenko@example.org
Затула,Одарка,Устимівна,Жіноча,1976-02-21,Музикознавець,місто Краматорськ,"площа Привокзальна, буд. 9 кв. 78, Міусинськ, 54818",+380 12 023-71-47,viacheslavdemianchuk@example.com
Франко,Трохим,Степанович,Чоловіча,1978-05-15,Візажист,хутір Жданівка,"провулок Матроська Слобідка, буд. 947, Бердичів, 98725",391-60-83,ada51@example.org
Кабалюк,Данило,Святославович,Чоловіча,1995-03-11,Євнух,селище Камінь-Каширський,"сквер Данькевича, буд. 4 кв. 72, Арциз, 48852",040 19 12,ropanasenko@example.org
Хорішко,Галина,Феофанівна,Жіноча,1954-06-20,Футболіст,село Краматорськ,"набережна Сурикова 1-й, буд. 2, Сокиряни, 85791",+380 22 439 23 30,mariiapiddubnyi@example.net
